date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:42	121340/121340	---M--	200	added ('OK')	image/jpeg	etag:%221d9fc-5137107cc7547%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-11.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-11.jpg	(from http://moc.sg/showroom-cleaning/)
20:43:50	97171/97171	---M--	200	added ('OK')	image/jpeg	etag:%2217b93-5137107ada2a7%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-8.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-8.jpg	(from http://moc.sg/showroom-cleaning/)
20:43:53	117910/117910	---M--	200	added ('OK')	image/jpeg	etag:%221cc96-5137107be7b27%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-10.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-10.jpg	(from http://moc.sg/showroom-cleaning/)
20:43:54	100742/100742	---M--	200	added ('OK')	image/jpeg	etag:%2218986-513710791be07%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-6.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-6.jpg	(from http://moc.sg/showroom-cleaning/)
20:43:56	89332/89332	---M--	200	added ('OK')	image/jpeg	etag:%2215cf4-5137107a10047%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-7.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-7.jpg	(from http://moc.sg/showroom-cleaning/)
20:44:05	92491/92491	---M--	200	added ('OK')	image/jpeg	etag:%221694b-513710785d727%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-5.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-5.jpg	(from http://moc.sg/showroom-cleaning/)
20:44:06	2167/2167	---M-Z	200	added ('OK')	application/json	date:Mon,%2030%20May%202022%2010:15:53%20GMT	http://moc.sg/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmoc.sg%2Fimage-gallery%2F	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-json/oembed/1.0/embedd05e.json	(from http://moc.sg/image-gallery/)
20:44:06	81898/81898	---M--	200	added ('OK')	image/jpeg	etag:%2213fea-513710778a827%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-3.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-3.jpg	(from http://moc.sg/showroom-cleaning/)
20:44:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20May%202022%2010:15:53%20GMT	http://moc.sg/?p=13891	D:/Static%20Webpage/fyp2/MOC/moc.sg/index1a16.html	(from http://moc.sg/image-gallery/)
20:44:07	2264/2264	---M-Z	200	added ('OK')	text/xml	date:Mon,%2030%20May%202022%2010:15:54%20GMT	http://moc.sg/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmoc.sg%2Fimage-gallery%2F&format=xml	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-json/oembed/1.0/embedf1e8	(from http://moc.sg/image-gallery/)
